"Ref Calipso","","","","","","","","","Sex","Sise","",""
"1500","05","06","2","3","Colisa ","Labiosa Miel","Colisa","labiosa","N","5cm","  4,200 ","  4,620.0 "
"1500","10","07","1","1","Gourami ","Paraiso Azul","Macropodus","opercularis","M","6cm","  1,100 ","  1,210.0 "
"1500","15","08","1","3","Gourami ","Besador","Helostoma","temnincki","N","6.5cm","  2,450 ","  2,695.0 "
"1500","20","09","2","1","Gourami ","Perla","Trichogaster","leeri","M","5.5cm","  3,500 ","  3,850.0 "
"1500","20","10","2","3","Gourami ","Luz de Luna","Trichogaster","microlepis","N","5.5cm","  1,950 ","  2,145.0 "
"1500","20","11","2","3","Gourami ","Dorado","Trichogaster","trichopterus","N","5.5cm","  1,100 ","  1,210.0 "
"1500","20","12","2","3","Gourami ","Azul","Trichogaster","trichopterus","N","5.5cm","  1,100 ","  1,210.0 "
"1500","20","13","2","3","Gourami ","Opalino","Trichogaster","trichopterus","N","5.5cm","  1,100 ","  1,210.0 "
"1500","20","14","2","3","Gourami ","Miel","Trichogaster","trichopterus","N","5.5cm","  1,100 ","  1,210.0 "
"CICLIDOS AF","","","","","","","","","","","",""
"1600","01","01","2","3","Obliquens","Corriente","Astatotilapia ","obliquidens","N","5cm","  3,200 ","  3,520.0 "
"1600","01","02","2","3","Obliquens","Zebra","Astatotilapia ","obliquidens","N","5cm","  1,100 ","  1,210.0 "
"1600","02","01","2","3","Pundamila","Nieyeri","Pundamila","Nieyeri","N","4.5cm","  35,000 ","  38,500.0 "
"1600","05","04","2","3","Aulonocara","Albino","Aulonocara","baenschi","N","5.5cm","  23,000 ","  25,300.0 "
"1600","05","05","2","3","Aulonocara","Flavescens Azul y Amarillo","Aulonocara","flavescens","N","5.5cm","  30,000 ","  33,000.0 "
"1600","05","06","2","3","Aulonocara","Eureka","Aulonocara","Regina","N","5.5cm","  23,000 ","  25,300.0 "
"1600","05","07","2","3","Aulonocara","OB","Aulonocara","baenschi","N","5.5cm","  40,000 ","  44,000.0 "
"1600","05","07","2","3","Aulonocara","Baenchi (Amarillo con Azul)","Aulonocara","baenschi","N","5.5cm","  35,000 ","  38,500.0 "
"1600","05","08","2","3","Aulonocara","German Red","Aulonocara","German Red","N","5.5cm","  45,000 ","  49,500.0 "
"1600","05","09","2","3","Aulonocara","Fire Fish","Aulonocara","Usilla","N","5.5cm","  45,000 ","  49,500.0 "
"1600","05","10","2","3","Aulonocara","Maelandy","Aulonocara","Maelandy","N","5.5cm","  45,000 ","  49,500.0 "
"1600","05","12","2","3","Haplochromis","Lithobates","Haplochromis","Lithobates","N","5.5cm","  23,000 ","  25,300.0 "
"1600","06","13","2","3","Ciclido","Verde","Lethrynox","intermedius","N","6cm","  23,000 ","  25,300.0 "
"1600","10","47","2","3","Haplochromis","Naranja","Haplochromis","Hard rock","N","5cm","  3,200 ","  3,520.0 "
"1600","10","47","3","3","Haplochromis","Naranja","Haplochromis","Hard rock","N","5cm","  6,400 ","  7,040.0 "
"1600","85","08","2","3","Ciclido","Ahli","Sciaenochromis","ahli","N","5cm","  14,000 ","  15,400.0 "
"1600","10","09","2","3","Ciclido","Livingstoni","Haplochromis","livingsstoni","N","5cm","  1,100 ","  1,210.0 "
"1600","90","10","2","3","Ciclido","Moori","Cyptocara","moorii","N","4cm","  1,750 ","  1,925.0 "
"1600","95","11","2","3","Ciclido","Venustus","Nimbochromis","venustus","N","4cm","  1,100 ","  1,210.0 "
"1600","10","45","2","3","Ciclido","Borley","Haplochromis","Borley","N","5cm","  16,500 ","  18,150.0 "
"1600","10","45","3","3","Ciclido","Borley","Haplochromis","Borley","N","8cm","  27,000 ","  29,700.0 "
"1600","10","11","2","3","Ciclido","Compressicepes","Dimidochromis","Compressicepes","N","5cm","  16,500 ","  18,150.0 "
"1600","10","11","3","3","Ciclido","Compressicepes","Dimidochromis","Compressicepes","N","8cm","  21,500 ","  23,650.0 "
"1600","15","12","2","3","Ciclido","Exochromis","Exochromis ","Anagenys","N","6cm","  17,000 ","  18,700.0 "
"1600","15","12","3","3","Ciclido","Exochromis","Exochromis ","Anagenys","N","8cm","  32,000 ","  35,200.0 "
"1600","20","13","2","3","Ciclido","Labeotropheus","Labeotropheus","trewavasae","N","5cm","  1,100 ","  1,210.0 "
"1600","20","14","2","3","Ciclido","Labeotropheus Albino","Labeotropheus","trewavasae","N","5cm","  1,100 ","  1,210.0 "
"1600","25","14","2","3","Ciclido","Tropheus Amarillo","Labidochromis","Carulius","N","4cm","  3,250 ","  3,575.0 "
"1600","30","15","2","3","Ciclido","Brichardi","Lamprologus ","Brichardi","N","4cm","  6,900 ","  7,590.0 "
"1600","30","16","2","3","Ciclido","Dafodil","Lamprologus ","Dafodil","N","4cm","  6,900 ","  7,590.0 "
"1600","35","16","2","3","Ciclido","Auratus","Melanochromis","auratus","N","4cm","  1,100 ","  1,210.0 "
"1600","35","17","2","3","Ciclido","Auratus Albino","Melanochromis","auratus","N","4cm","  1,300 ","  1,430.0 "
"1600","35","18","2","3","Ciclido ","Chipokae","Melanochromis","chipokae","N","4cm","  1,300 ","  1,430.0 "
"1600","35","19","2","3","Ciclido ","Exasperatus","Melanochromis","exasperatus","N","4cm","  1,100 ","  1,210.0 "
"1600","35","20","2","3","Ciclido ","Johannii Amarillo","Melanochromis","johannii","N","4cm","  1,300 ","  1,430.0 "
"1600","35","21","2","3","Ciclido ","Johannii Azul","Melanochromis","johannii","N","4cm","  1,300 ","  1,430.0 "
"1600","40","22","2","3","Ciclido","Pulcher Krevenci","Pelvicachromis","pulcher","N","3.5cm","  4,800 ","  5,280.0 "
"1600","45","23","2","3","Ciclido","Acei","Pseudotropheus","Acei","N","3.5cm","  1,750 ","  1,925.0 "
"1600","45","24","2","3","Ciclido ","Rusty","Pseudotropheus","springare","N","3.5cm","  1,300 ","  1,430.0 "
"1600","45","26","2","3","Ciclido ","Crabro","Pseudotropheus","Crabro","N","3.5cm","  1,300 ","  1,430.0 "
"1600","45","27","2","3","Ciclido ","Elongatus","Pseudotropheus","Elongatus","N","4cm","  1,100 ","  1,210.0 "
"1600","45","28","2","3","Ciclido ","Red Top Zebra","Pseudotropheus","greshakei","N","4cm","  1,100 ","  1,210.0 "
"1600","45","29","2","3","Ciclido ","Keny Amarillo - Azul","Pseudotropheus","lombardoi","N","4cm","  1,300 ","  1,430.0 "
"1600","45","30","2","3","Ciclido ","Cobalto Azul","Pseudotropheus","sokolofii","N","4cm","  1,100 ","  1,210.0 "
"1600","45","31","2","3","Ciclido ","Cobalto Azul Albino ","Pseudotropheus","sokolofii","N","4cm","  1,300 ","  1,430.0 "
"1600","45","32","2","3","Ciclido ","OB Zebra","Pseudotropheus","zebra","N","4cm","  1,300 ","  1,430.0 "
"1600","45","33","2","3","Ciclido ","Mandarina","Pseudotropheus","zebra","N","4cm","  1,300 ","  1,430.0 "
"1600","45","38","2","3","Ciclido ","Albino Zebra","Pseudotropheus","zebra","N","4cm","  1,100 ","  1,210.0 "
"1600","45","35","2","3","Ciclido ","Damazoni","Pseudotropheus","damasoni","N","3.5cm","  6,900 ","  7,590.0 "
"1600","45","35","2","3","Ciclido","Psudotropheus amarillo blanco","Pseudotropheus","Macrophthalmus","N","4cm","  1,100 ","  1,210.0 "
"1600","45","37","2","3","Daktari","Corriente","Pseudotropheus","daktari","N","4cm","  1,300 ","  1,430.0 "
"1600","45","37","2","3","Ciclido","Chaillino","Pseudotropheus","Chaillino","N","4cm","  3,250 ","  3,575.0 "
"1600","60","39","2","3","Ciclido ","Dubois","Tropheus","duboisi","N","4cm","  38,000 ","  41,800.0 "
"1600","60","41","2","3","Ciclido ","Bemba","Tropheus","Bemba","N","3.5cm","  43,000 ","  47,300.0 "
"1600","10","05","2","3","Cíclido","Bluedempsey Azul Electrico","Blue","Dempsey","N","5cm","  30,000 ","  33,000.0 "
"1600","65","40","2","3","Ciclido ","Steveni Taiwan Reef","Protomelas","Steveni","N","6cm","  48,000 ","  52,800.0 "
"1600","65","41","2","3","Ciclido ","Steveni Alvino","Protomelas","Steveni","N","6cm","  37,000 ","  40,700.0 "
"1600","65","40","2","3","Ciclido ","Fenestratus","Protomelas","Fenestratus","N","6cm","  27,000 ","  29,700.0 "
"1600","70","41","2","3","Ciclido ","Joya","Hemichromis","bimacuadata","N","4cm","  1,150 ","  1,265.0 "
"1600","70","42","2","3","Ciclido ","Poleni","Paratilapia","Polleni","N","4cm","  11,000 ","  12,100.0 "
"1600","75","42","2","3","Cynotilapia","Leon cove","Cynotilapia","afra","N","4cm","  3,800 ","  4,180.0 "
"1600","80","43","2","3","Afra","Azul aleta amarilla","Cynotilapia","afra","N","4cm","  3,800 ","  4,180.0 "
"CICLIDOS AM","","","","","","","","","","","",""
"1700","01","01","1","3","Oscar","Blanco","Astronotus","ocelatus ","N","3cm","  6,000 ","  6,600.0 "
"1700","01","02","1","3","Oscar","Cobre","Astronotus","ocelatus ","N","3cm","  6,000 ","  6,600.0 "
"1700","01","03","1","3","Oscar","Tigre","Astronotus","ocelatus ","N","3cm","  3,000 ","  3,300.0 "
"1700","05","05","2","3","Convicto","Albino","Archocentrus","nigrofasciatum","N","5cm","  900 ","  990.0 "
"1700","05","04","2","3","Convicto","Negro","Archocentrus","nigrofasciatum","N","5cm","  900 ","  990.0 "
"1700","06","04","1","1","Nandopsis","Salvini ","Nandopsis","Salvini","M","5cm","  1,300 ","  1,430.0 "
"1700","06","04","1","1","Nandopsis","Salvini Rojo","Nandopsis","Salvini","H","5cm","  11,000 ","  12,100.0 "
"1700","10","05","2","3","Jack Dempsy","Corriente","Cichlasoma","octofasciatum","N","5cm","  1,300 ","  1,430.0 "
"1700","20","07","1","3","Flower Horn","Corriente","Cichlasoma ","sp","N","4cm","  1,300 ","  1,430.0 "
"1700","20","07","2","3","Flower Horn","Corriente","Cichlasoma ","sp","N","8cm","  9,000 ","  9,900.0 "
"1700","20","07","3","3","Flower Horn","Corriente","Cichlasoma ","sp","N","10cm","  18,000 ","  19,800.0 "
"1700","20","09","3","3","Ciclido","Boca de fuego","Cichlasoma ","Meeki","N","5cm","  6,000 ","  6,600.0 "
"1700","25","08","2","3","Falso Disco","Severum Blanco","Heros","severum","N","3cm","  2,200 ","  2,420.0 "
"1700","25","09","2","3","Falso Disco","Severum Corriente","Heros","Appendiculate","N","3cm","  2,200 ","  2,420.0 "
"1700","30","10","1","1","Rivulatus","Corriente","Aequidens","rivulatus","N","4cm","  1,700 ","  1,870.0 "
"1700","30","10","3","1","Rivulatus","Corriente","Aequidens","rivulatus","N","8cm","  9,000 ","  9,900.0 "
"1700","35","11","1","3","Cyanogutatus ","Verde","Herychthys","Cyanogulatus","N","4cm","  1,300 ","  1,430.0 "
"1700","35","11","3","3","Cyanogutatus ","Verde","Herychthys","Cyanogulatus","N","8cm","  8,500 ","  9,350.0 "
"1700","40","12","1","3","Maculicauda","Vieja Roja y Negra","Vieja","maculicauda","N","4cm","  1,300 ","  1,430.0 "
"1700","40","12","3","3","Maculicauda","Vieja Roja y Negra","Vieja","maculicauda","N","8cm","  9,000 ","  9,900.0 "
"1700","50","14","1","3","Ciclido","Chocolate","Hypselecara ","temporalis","N","5cm","  2,700 ","  2,970.0 "
"1700","50","14","3","3","Ciclido","Chocolate","Hypselecara ","temporalis","N","8cm","  9,000 ","  9,900.0 "
"1700","55","16","2","3","Ramirezi","albino de velo","Microgeophagus","Ramirezii","N","4cm","  4,800 ","  5,280.0 "
"1700","55","17","2","3","Ramirezi","azul de velo","Microgeophagus","Ramirezii","N","4cm","  3,800 ","  4,180.0 "
"1700","55","20","2","3","Ramirezi","Papilocromis","Papilocchromis","Altipinosa","N","4cm","  2,700 ","  2,970.0 "
"1700","55","21","2","3","Ramirezi","azul electrico Intenzo","Microgeophagus","Ramirezii","N","3cm","  20,000 ","  22,000.0 "
"1700","60","19","1","3","Escalar","Sin Velo Surtidos","Pterophilum","scalare","N","4cm","  1,100 ","  1,210.0 "
"1700","60","19","2","3","Escalar","Sin Velo Surtidos","Pterophilum","scalare","N","5cm","  1,250 ","  1,375.0 "
"1700","60","19","3","3","Escalar","Sin Velo Surtidos","Pterophilum","scalare","N","9cm","  5,500 ","  6,050.0 "
"Acontinuacion listamos todas las variedades de escalares que producimos, se venden surtidos.","","","","","","","","","","","",""
"1700","60","27","1","3","Escalar","Velo Surtidos","Pterophilum","scalare","N","4cm","  1,250 ","  1,375.0 "
"1700","60","27","2","3","Escalar","Velo Surtidos","Pterophilum","scalare","N","6cm","  1,600 ","  1,760.0 "
"1700","60","27","3","3","Escalar","Velo Surtidos","Pterophilum","scalare","N","9cm","  6,500 ","  7,150.0 "
"1700","60","26","2","3","Escalar","Sin Velo Negro","Pterophilum","scalare","N","4.5cm","  5,500 ","  6,050.0 "
"1700","60","26","3","3","Escalar","Sin Velo Negro","Pterophilum","scalare","N","6.5cm","  10,500 ","  11,550.0 "
"1700","60","33","2","3","Escalar","Velo Negro","Pterophilum","scalare","N","4.5cm","  7,500 ","  8,250.0 "
"1700","60","33","3","3","Escalar","Velo Negro","Pterophilum","scalare","N","6.5cm","  15,000 ","  16,500.0 "
"1700","60","35","3","3","Escalar","Escama d Perla sin velo","Pterophilum","scalare","N","4.5cm","  5,500 ","  6,050.0 "
"1700","60","35","3","3","Escalar","Escama d Perla sin velo","Pterophilum","scalare","N","6.5cm","  10,000 ","  11,000.0 "
"1700","60","35","2","3","Escalar","Velo Escama d Perla","Pterophilum","scalare","N","4.5cm","  10,000 ","  11,000.0 "
"1700","60","35","3","3","Escalar","Velo Escama d Perla","Pterophilum","scalare","N","6.5cm","  15,000 ","  16,500.0 "
"1700","60","35","2","3","Escalar","Koi Americano","Pterophilum","scalare","N","4cm","  3,500 ","  3,850.0 "
"1700","60","35","3","3","Escalar","Koi Americano","Pterophilum","scalare","N","5cm","  5,500 ","  6,050.0 "
"1700","60","45","3","3","Escalar","Koi Rojo","Pterophilum","scalare","N","4.5cm","  8,000 ","  8,800.0 "
"1700","60","46","3","3","Escalar","Koi Rojo","Pterophilum","scalare","N","6cm","  12,000 ","  13,200.0 "
"1700","60","36","1","3","Escalar","Platino azul","Pterophilum","scalare","N","4.5cm","  5,500 ","  6,050.0 "
"1700","60","36","2","3","Escalar","Platino azul","Pterophilum","scalare","N","6cm","  7,500 ","  8,250.0 "
"1700","60","37","2","3","Escalar","Red Cap","Pterophilum","scalare","N","4.5cm","  3,500 ","  3,850.0 "
"1700","60","37","2","3","Escalar","Red Cap","Pterophilum","scalare","N","6cm","  5,500 ","  6,050.0 "
"1700","65","37","2","3","Disco","Marlboro","Symphysodon","aequifasciatus","N","3.5cms","  35,000 ","  38,500.0 "
"1700","65","37","4","3","Disco","Marlboro","Symphysodon","aequifasciatus","N","4.5cms","  45,000 ","  49,500.0 "
"1700","65","39","2","3","Disco ","Marlboro","Symphysodon","aequifasciatus","N","6cm","  60,000 ","  66,000.0 "
"1700","65","39","4","3","Disco ","Snow White","Symphysodon","aequifasciatus","N","3.5 cms","  28,000 ","  30,800.0 "
"1700","65","39","4","3","Disco ","Snow White","Symphysodon","aequifasciatus","N","4.5cms","  38,000 ","  41,800.0 "
"1700","65","39","4","3","Disco ","Snow White","Symphysodon","aequifasciatus","N","6cm","  50,000 ","  55,000.0 "
"1700","65","39","4","3","Disco ","Snow White F2","Symphysodon","aequifasciatus","N","3 cms","  25,000 ","  27,500.0 "
"1700","65","39","4","3","Disco ","Snow White F2","Symphysodon","aequifasciatus","N","4 cms","  35,000 ","  38,500.0 "
"1700","65","39","4","3","Disco ","Snow White F2","Symphysodon","aequifasciatus","N","5 cms","  45,000 ","  49,500.0 "
